关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
109044250,1090442-50,1,1,1.0
109035261,1090352-61,1,2,0.5
108988206,1089882-06,1,3,0.3333333333333333
108986625,1089866-25,1,4,0.25
108984970,1089849-70,1,5,0.2
108978861,1089788-61,1,6,0.16666666666666666
108974291,1089742-91,1,7,0.14285714285714285
108972901,1089729-01,1,8,0.125
108972689,1089726-89,1,9,0.1111111111111111
108966742,1089667-42,1,10,0.1
108966592,1089665-92,1,11,0.09090909090909091
108963331,1089633-31,1,12,0.08333333333333333
108961694,1089616-94,1,13,0.07692307692307693
108961653,1089616-53,1,14,0.07142857142857142
108961638,1089616-38,1,15,0.06666666666666667
108961404,1089614-04,1,16,0.0625
108961388,1089613-88,1,17,0.058823529411764705
108960802,1089608-02,1,18,0.05555555555555555
108960794,1089607-94,1,19,0.05263157894736842
108960639,1089606-39,1,20,0.05
108960600,1089606-00,1,21,0.047619047619047616
108960567,1089605-67,1,22,0.045454545454545456
108960453,1089604-53,1,23,0.043478260869565216
108960351,1089603-51,1,24,0.041666666666666664
108960244,1089602-44,1,25,0.04
108960121,1089601-21,1,26,0.038461538461538464
108959945,1089599-45,1,27,0.037037037037037035
108959879,1089598-79,1,28,0.03571428571428571
108959864,1089598-64,1,29,0.034482758620689655
108959756,1089597-56,1,30,0.03333333333333333
108959567,1089595-67,1,31,0.03225806451612903
108959533,1089595-33,1,32,0.03125
108959498,1089594-98,1,33,0.030303030303030304
108959490,1089594-90,1,34,0.029411764705882353
108959409,1089594-09,1,35,0.02857142857142857
108959381,1089593-81,1,36,0.027777777777777776
108959376,1089593-76,1,37,0.02702702702702703
108959194,1089591-94,1,38,0.02631578947368421
108959173,1089591-73,1,39,0.02564102564102564
108958967,1089589-67,1,40,0.025
108958966,1089589-66,1,41,0.024390243902439025
108958958,1089589-58,1,42,0.023809523809523808
108958893,1089588-93,1,43,0.023255813953488372
108958629,1089586-29,1,44,0.022727272727272728
