关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
108958514,1089585-14,1,45,0.022222222222222223
108958324,1089583-24,1,46,0.021739130434782608
108958075,1089580-75,1,47,0.02127659574468085
108958001,1089580-01,1,48,0.020833333333333332
108957950,1089579-50,1,49,0.02040816326530612
108957820,1089578-20,1,50,0.02
108957806,1089578-06,1,51,0.0196078431372549
108957718,1089577-18,1,52,0.019230769230769232
108957709,1089577-09,1,53,0.018867924528301886
108957505,1089575-05,1,54,0.018518518518518517
108957502,1089575-02,1,55,0.01818181818181818
108957448,1089574-48,1,56,0.017857142857142856
108957443,1089574-43,1,57,0.017543859649122806
108957403,1089574-03,1,58,0.017241379310344827
108957369,1089573-69,1,59,0.01694915254237288
108957364,1089573-64,1,60,0.016666666666666666
108957329,1089573-29,1,61,0.01639344262295082
108957297,1089572-97,1,62,0.016129032258064516
108957286,1089572-86,1,63,0.015873015873015872
108957273,1089572-73,1,64,0.015625
108957253,1089572-53,1,65,0.015384615384615385
108957155,1089571-55,1,66,0.015151515151515152
108956956,1089569-56,1,67,0.014925373134328358
108956953,1089569-53,1,68,0.014705882352941176
108956667,1089566-67,1,69,0.014492753623188406
108956656,1089566-56,1,70,0.014285714285714285
108956632,1089566-32,1,71,0.014084507042253521
108956565,1089565-65,1,72,0.013888888888888888
108956552,1089565-52,1,73,0.0136986301369863
108955849,1089558-49,1,74,0.013513513513513514
108955648,1089556-48,1,75,0.013333333333333334
108955237,1089552-37,1,76,0.013157894736842105
108955041,1089550-41,1,77,0.012987012987012988
108955009,1089550-09,1,78,0.01282051282051282
108954972,1089549-72,1,79,0.012658227848101266
108954828,1089548-28,1,80,0.0125
108954821,1089548-21,1,81,0.012345679012345678
108954749,1089547-49,1,82,0.012195121951219513
108954732,1089547-32,1,83,0.012048192771084338
108954637,1089546-37,1,84,0.011904761904761904
108954590,1089545-90,1,85,0.011764705882352941
108954418,1089544-18,1,86,0.011627906976744186
108953931,1089539-31,1,87,0.011494252873563218
108953782,1089537-82,1,88,0.011363636363636364
108953767,1089537-67,1,89,0.011235955056179775
108953648,1089536-48,1,90,0.011111111111111112
108953635,1089536-35,1,91,0.01098901098901099
108953538,1089535-38,1,92,0.010869565217391304
108953522,1089535-22,1,93,0.010752688172043012
108953502,1089535-02,1,94,0.010638297872340425
108953443,1089534-43,1,95,0.010526315789473684
108953362,1089533-62,1,96,0.010416666666666666
108953309,1089533-09,1,97,0.010309278350515464
108953285,1089532-85,1,98,0.01020408163265306
108953256,1089532-56,1,99,0.010101010101010102
108953225,1089532-25,1,100,0.01
108953016,1089530-16,1,101,0.009900990099009901
108952939,1089529-39,1,102,0.00980392156862745
108952865,1089528-65,1,103,0.009708737864077669
108952826,1089528-26,1,104,0.009615384615384616
108952819,1089528-19,1,105,0.009523809523809525
108952750,1089527-50,1,106,0.009433962264150943
108952718,1089527-18,1,107,0.009345794392523364
108952653,1089526-53,1,108,0.009259259259259259
108952553,1089525-53,1,109,0.009174311926605505
108952535,1089525-35,1,110,0.00909090909090909
108952447,1089524-47,1,111,0.009009009009009009
108952256,1089522-56,1,112,0.008928571428571428
108952033,1089520-33,1,113,0.008849557522123894
108951958,1089519-58,1,114,0.008771929824561403
108951888,1089518-88,1,115,0.008695652173913044
108951832,1089518-32,1,116,0.008620689655172414
108951802,1089518-02,1,117,0.008547008547008548
108951799,1089517-99,1,118,0.00847457627118644
108951764,1089517-64,1,119,0.008403361344537815
108951609,1089516-09,1,120,0.008333333333333333
108951560,1089515-60,1,121,0.008264462809917356
108951518,1089515-18,1,122,0.00819672131147541
108951395,1089513-95,1,123,0.008130081300813009
108951266,1089512-66,1,124,0.008064516129032258
108951251,1089512-51,1,125,0.008
108951209,1089512-09,1,126,0.007936507936507936
108951021,1089510-21,1,127,0.007874015748031496
108950937,1089509-37,1,128,0.0078125
108950837,1089508-37,1,129,0.007751937984496124
108950824,1089508-24,1,130,0.007692307692307693
108950733,1089507-33,1,131,0.007633587786259542
108950586,1089505-86,1,132,0.007575757575757576
108950484,1089504-84,1,133,0.007518796992481203
108950036,1089500-36,1,134,0.007462686567164179
108949554,1089495-54,1,135,0.007407407407407408
108949549,1089495-49,1,136,0.007352941176470588
108949517,1089495-17,1,137,0.0072992700729927005
