付费分层,人数,流失人数,首日进度均值,最高进度均值,最终进度均值,最终进度中位数,记录天数均值,最长停留天数均值,流失率
1~7,73,51,7.319444444444445,19.438356164383563,19.438356164383563,12.0,6.493150684931507,2.1095890410958904,0.6986301369863014
7~50,35,22,10.441176470588236,26.142857142857142,26.142857142857142,19.0,7.828571428571428,2.1714285714285713,0.6285714285714286
50~100,9,2,12.444444444444445,38.888888888888886,38.888888888888886,30.0,13.777777777777779,3.3333333333333335,0.2222222222222222
100~300,15,7,12.133333333333333,40.8,40.8,20.0,9.733333333333333,2.3333333333333335,0.4666666666666667
300~+∞,4,2,12.5,73.5,73.5,70.0,12.5,2.5,0.5
