付费分层,人数,流失人数,首日进度均值,最高进度均值,最终进度均值,最终进度中位数,记录天数均值,最长停留天数均值,流失率
1~7,138,104,7.711111111111111,14.226277372262773,14.226277372262773,12.0,4.601449275362318,1.9057971014492754,0.7536231884057971
7~50,60,36,11.172413793103448,23.116666666666667,23.116666666666667,19.0,6.9,2.3333333333333335,0.6
50~100,10,5,13.0,31.1,31.1,25.5,10.4,2.6,0.5
100~300,18,10,11.444444444444445,34.05555555555556,34.05555555555556,19.0,6.777777777777778,1.8888888888888888,0.5555555555555556
300~+∞,2,0,17.0,32.5,32.5,32.5,7.0,2.5,0.0
