天数,天序,有记录人数,有记录率,平均累计进度,中位累计进度,P75累计进度
首日,1,132,0.9635036496350365,9.272727272727273,9.0,13.0
2日,2,93,0.6788321167883211,15.774193548387096,15.0,19.0
3日,3,77,0.5620437956204379,18.727272727272727,19.0,24.0
4日,4,67,0.48905109489051096,21.955223880597014,21.0,27.0
5日,5,58,0.4233576642335766,25.448275862068964,25.0,31.0
6日,6,60,0.43795620437956206,27.483333333333334,25.0,33.25
7日,7,52,0.3795620437956204,31.115384615384617,29.5,38.25
8日,8,53,0.38686131386861317,32.905660377358494,31.0,42.0
9日,9,45,0.3284671532846715,35.75555555555555,32.0,43.0
10日,10,42,0.30656934306569344,38.61904761904762,33.0,44.0
11日,11,37,0.27007299270072993,40.67567567567568,37.0,44.0
12日,12,39,0.2846715328467153,39.282051282051285,34.0,44.5
13日,13,30,0.21897810218978103,45.733333333333334,39.0,53.0
14日,14,29,0.2116788321167883,43.3448275862069,37.0,54.0
15日,15,29,0.2116788321167883,43.13793103448276,37.0,60.0
16日,16,21,0.15328467153284672,50.476190476190474,50.0,72.0
17日,17,25,0.18248175182481752,50.4,45.0,69.0
18日,18,24,0.17518248175182483,51.208333333333336,45.5,70.25
19日,19,21,0.15328467153284672,57.04761904761905,54.0,74.0
20日,20,21,0.15328467153284672,59.333333333333336,60.0,78.0
21日,21,22,0.16058394160583941,59.36363636363637,62.0,77.75
22日,22,22,0.16058394160583941,61.04545454545455,66.5,78.5
23日,23,21,0.15328467153284672,62.904761904761905,70.0,79.0
24日,24,18,0.13138686131386862,70.88888888888889,72.5,81.5
