最终原始关卡,最终原始关卡标签,流失人数,付费分层数
106.0,1-06,9,2
110.0,1-10,8,3
113.0,1-13,8,3
103.0,1-03,5,2
104.0,1-04,5,1
108.0,1-08,5,2
204.0,2-04,5,3
102.0,1-02,4,1
107.0,1-07,4,2
112.0,1-12,4,2
115.0,1-15,4,1
109.0,1-09,3,1
114.0,1-14,3,1
203.0,2-03,2,2
101.0,1-01,1,1
105.0,1-05,1,1
111.0,1-11,1,1
206.0,2-06,1,1
209.0,2-09,1,1
302.0,3-02,1,1
306.0,3-06,1,1
314.0,3-14,1,1
