天数,天序,有新增记录人数,平均新增关卡,中位新增关卡,新增为0人数,新增为0占有记录比
首日,1,134,9.149253731343284,9.0,0,0.0
2日,2,100,5.05,3.0,15,0.15
3日,3,77,3.4545454545454546,3.0,17,0.22077922077922077
4日,4,63,2.8095238095238093,1.0,27,0.42857142857142855
5日,5,51,3.392156862745098,3.0,15,0.29411764705882354
6日,6,44,3.3181818181818183,2.0,10,0.22727272727272727
7日,7,41,2.707317073170732,2.0,10,0.24390243902439024
8日,8,43,2.744186046511628,2.0,15,0.3488372093023256
9日,9,37,2.4864864864864864,1.0,15,0.40540540540540543
10日,10,34,2.176470588235294,1.0,13,0.38235294117647056
11日,11,32,3.125,2.5,11,0.34375
12日,12,30,1.4,1.0,13,0.43333333333333335
13日,13,26,2.1923076923076925,1.5,9,0.34615384615384615
14日,14,28,1.8571428571428572,1.0,10,0.35714285714285715
15日,15,30,2.2,1.0,12,0.4
16日,16,31,1.5161290322580645,0.0,19,0.6129032258064516
17日,17,28,1.3214285714285714,0.5,14,0.5
18日,18,25,1.36,0.0,14,0.56
19日,19,23,2.0434782608695654,1.0,11,0.4782608695652174
20日,20,23,0.6086956521739131,0.0,15,0.6521739130434783
21日,21,22,0.9090909090909091,0.0,14,0.6363636363636364
22日,22,23,1.608695652173913,1.0,9,0.391304347826087
23日,23,20,1.25,1.0,9,0.45
24日,24,20,1.05,0.0,13,0.65
