最终原始关卡,最终原始关卡标签,流失人数,付费分层数
106.0,1-06,11,2
110.0,1-10,8,3
204.0,2-04,8,3
103.0,1-03,6,3
112.0,1-12,6,3
113.0,1-13,6,2
107.0,1-07,5,1
109.0,1-09,4,2
115.0,1-15,4,3
102.0,1-02,3,1
108.0,1-08,3,2
104.0,1-04,2,2
111.0,1-11,2,1
114.0,1-14,2,2
205.0,2-05,2,2
214.0,2-14,2,2
101.0,1-01,1,1
105.0,1-05,1,1
202.0,2-02,1,1
203.0,2-03,1,1
208.0,2-08,1,1
209.0,2-09,1,1
211.0,2-11,1,1
301.0,3-01,1,1
302.0,3-02,1,1
309.0,3-09,1,1
