关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
108964627,1089646-27,1,124,0.008064516129032258
108964576,1089645-76,1,125,0.008
108964551,1089645-51,1,126,0.007936507936507936
108964503,1089645-03,1,127,0.007874015748031496
108964042,1089640-42,1,128,0.0078125
108963720,1089637-20,1,129,0.007751937984496124
108963705,1089637-05,1,130,0.007692307692307693
108963703,1089637-03,1,131,0.007633587786259542
108963593,1089635-93,1,132,0.007575757575757576
108963591,1089635-91,1,133,0.007518796992481203
108963314,1089633-14,1,134,0.007462686567164179
108963268,1089632-68,1,135,0.007407407407407408
108963161,1089631-61,1,136,0.007352941176470588
