批次,人数,首日平均进度,首日中位进度,最终平均进度,最终中位进度,平均记录天数,记录天数中位数,流失人数,流失率,1~7占比,前四关最终停留占比
4.4-4.8,228,9.233183856502242,9.0,19.05286343612335,13.0,5.6535087719298245,3.0,155,0.6798245614035088,0.6052631578947368,0.14473684210526316
1.13-1.15,136,9.149253731343284,9.0,26.397058823529413,15.0,7.852941176470588,4.0,84,0.6176470588235294,0.5367647058823529,0.09558823529411764
1.09-1.11,137,9.272727272727273,9.0,24.978102189781023,15.0,7.576642335766423,4.0,77,0.5620437956204379,0.7299270072992701,0.11678832116788321
1月基线,273,9.210526315789474,9.0,25.684981684981686,15.0,7.714285714285714,4.0,161,0.5897435897435898,0.6336996336996337,0.10622710622710622
