最长停留原始关卡,出现为最长停留人数,平均连续停留天数,最大连续停留天数,关卡标签
106,14,1.1428571428571428,3,1-06
113,12,2.0,3,1-13
204,11,2.727272727272727,6,2-04
314,7,3.2857142857142856,7,3-14
107,7,1.2857142857142858,2,1-07
115,6,2.1666666666666665,5,1-15
110,6,1.8333333333333333,5,1-10
102,6,1.0,1,1-02
103,6,1.0,1,1-03
210,5,5.4,9,2-10
109,5,1.4,3,1-09
104,5,1.0,1,1-04
215,4,3.25,4,2-15
114,4,2.75,5,1-14
214,4,2.5,4,2-14
112,4,1.5,2,1-12
302,3,3.3333333333333335,4,3-02
309,2,5.0,5,3-09
304,2,4.5,5,3-04
604,2,4.5,5,6-04
301,2,4.0,4,3-01
405,2,4.0,4,4-05
511,2,4.0,4,5-11
514,2,2.0,2,5-14
108,2,1.5,2,1-08
105,2,1.0,1,1-05
307,1,6.0,6,3-07
504,1,5.0,5,5-04
601,1,4.0,4,6-01
208,1,3.0,3,2-08
313,1,3.0,3,3-13
202,1,2.0,2,2-02
206,1,2.0,2,2-06
209,1,2.0,2,2-09
101,1,1.0,1,1-01
111,1,1.0,1,1-11
