付费分层,人数,流失人数,首日进度均值,最高进度均值,最终进度均值,最终进度中位数,记录天数均值,最长停留天数均值,流失率
1~7,100,61,8.421052631578947,20.85,20.85,13.5,6.93,2.29,0.61
7~50,19,8,10.842105263157896,33.05263157894737,33.05263157894737,22.0,9.368421052631579,2.3684210526315788,0.42105263157894735
50~100,3,2,11.666666666666666,18.333333333333332,18.333333333333332,13.0,2.6666666666666665,1.3333333333333333,0.6666666666666666
100~300,14,5,11.857142857142858,43.57142857142857,43.57142857142857,35.0,10.928571428571429,2.642857142857143,0.35714285714285715
300~+∞,1,1,17.0,44.0,44.0,44.0,6.0,2.0,1.0
