关卡,关卡标签,最高停在该关人数,到达该关人数,停留率
109077018,1090770-18,1,124,0.008064516129032258
109076997,1090769-97,1,125,0.008
109076994,1090769-94,1,126,0.007936507936507936
109076786,1090767-86,1,127,0.007874015748031496
109076728,1090767-28,1,128,0.0078125
109076633,1090766-33,1,129,0.007751937984496124
109076607,1090766-07,1,130,0.007692307692307693
109076599,1090765-99,1,131,0.007633587786259542
109076567,1090765-67,1,132,0.007575757575757576
109076496,1090764-96,1,133,0.007518796992481203
109076457,1090764-57,1,134,0.007462686567164179
109076298,1090762-98,1,135,0.007407407407407408
109076280,1090762-80,1,136,0.007352941176470588
109076126,1090761-26,1,137,0.0072992700729927005
109076103,1090761-03,1,138,0.007246376811594203
109076014,1090760-14,1,139,0.007194244604316547
109075946,1090759-46,1,140,0.007142857142857143
109075918,1090759-18,1,141,0.0070921985815602835
109075868,1090758-68,1,142,0.007042253521126761
109075851,1090758-51,1,143,0.006993006993006993
109075792,1090757-92,1,144,0.006944444444444444
109075575,1090755-75,1,145,0.006896551724137931
109075568,1090755-68,1,146,0.00684931506849315
109075499,1090754-99,1,147,0.006802721088435374
109075411,1090754-11,1,148,0.006756756756756757
109075287,1090752-87,1,149,0.006711409395973154
109075276,1090752-76,1,150,0.006666666666666667
109075265,1090752-65,1,151,0.006622516556291391
109075176,1090751-76,1,152,0.006578947368421052
109075152,1090751-52,1,153,0.006535947712418301
109075056,1090750-56,1,154,0.006493506493506494
109075043,1090750-43,1,155,0.0064516129032258064
109074927,1090749-27,1,156,0.00641025641025641
109074910,1090749-10,1,157,0.006369426751592357
109074766,1090747-66,1,158,0.006329113924050633
109074630,1090746-30,1,159,0.006289308176100629
109074547,1090745-47,1,160,0.00625
109074510,1090745-10,1,161,0.006211180124223602
109074446,1090744-46,1,162,0.006172839506172839
109074440,1090744-40,1,163,0.006134969325153374
109074305,1090743-05,1,164,0.006097560975609756
109074227,1090742-27,1,165,0.006060606060606061
109074080,1090740-80,1,166,0.006024096385542169
109073976,1090739-76,1,167,0.005988023952095809
109073726,1090737-26,1,168,0.005952380952380952
109073469,1090734-69,1,169,0.005917159763313609
109073325,1090733-25,1,170,0.0058823529411764705
109073219,1090732-19,1,171,0.005847953216374269
109073128,1090731-28,1,172,0.005813953488372093
109073070,1090730-70,1,173,0.005780346820809248
109073045,1090730-45,1,174,0.005747126436781609
109072961,1090729-61,1,175,0.005714285714285714
109072847,1090728-47,1,176,0.005681818181818182
109072835,1090728-35,1,177,0.005649717514124294
109072718,1090727-18,1,178,0.0056179775280898875
109072656,1090726-56,1,179,0.00558659217877095
109072560,1090725-60,1,180,0.005555555555555556
109072553,1090725-53,1,181,0.0055248618784530384
109072521,1090725-21,1,182,0.005494505494505495
109072507,1090725-07,1,183,0.00546448087431694
109072489,1090724-89,1,184,0.005434782608695652
109072465,1090724-65,1,185,0.005405405405405406
109072274,1090722-74,1,186,0.005376344086021506
109072233,1090722-33,1,187,0.0053475935828877
109072115,1090721-15,1,188,0.005319148936170213
109072103,1090721-03,1,189,0.005291005291005291
109072063,1090720-63,1,190,0.005263157894736842
109071921,1090719-21,1,191,0.005235602094240838
109071886,1090718-86,1,192,0.005208333333333333
109071868,1090718-68,1,193,0.0051813471502590676
109071848,1090718-48,1,194,0.005154639175257732
109071783,1090717-83,1,195,0.005128205128205128
109071711,1090717-11,1,196,0.00510204081632653
109071667,1090716-67,1,197,0.005076142131979695
109071661,1090716-61,1,198,0.005050505050505051
109071655,1090716-55,1,199,0.005025125628140704
109071642,1090716-42,1,200,0.005
109071572,1090715-72,1,201,0.004975124378109453
109071502,1090715-02,1,202,0.0049504950495049506
109071476,1090714-76,1,203,0.0049261083743842365
109071401,1090714-01,1,204,0.004901960784313725
109071270,1090712-70,1,205,0.004878048780487805
109071153,1090711-53,1,206,0.0048543689320388345
109071103,1090711-03,1,207,0.004830917874396135
109071032,1090710-32,1,208,0.004807692307692308
109070986,1090709-86,1,209,0.004784688995215311
109070946,1090709-46,1,210,0.004761904761904762
109070924,1090709-24,1,211,0.004739336492890996
109070736,1090707-36,1,212,0.0047169811320754715
109070659,1090706-59,1,213,0.004694835680751174
109070637,1090706-37,1,214,0.004672897196261682
109070608,1090706-08,1,215,0.004651162790697674
109070413,1090704-13,1,216,0.004629629629629629
109070410,1090704-10,1,217,0.004608294930875576
109070403,1090704-03,1,218,0.0045871559633027525
109070282,1090702-82,1,219,0.0045662100456621
109070276,1090702-76,1,220,0.004545454545454545
109070223,1090702-23,1,221,0.004524886877828055
109070178,1090701-78,1,222,0.0045045045045045045
109070141,1090701-41,1,223,0.004484304932735426
109070129,1090701-29,1,224,0.004464285714285714
109070036,1090700-36,1,225,0.0044444444444444444
109069928,1090699-28,1,226,0.004424778761061947
109069676,1090696-76,1,227,0.004405286343612335
109069105,1090691-05,1,228,0.0043859649122807015
