口径,关卡,关卡标签,关卡序号,是否前四关基准段,到达该关人数,流失人数,最终停留人数,最长停留人数,平均连续停留天数,归一化流失率
4.4-4.8,101,1-01,1.0,True,227,1,1,1,1.0,0.004405286343612335
4.4-4.8,102,1-02,2.0,True,226,3,3,3,1.0,0.01327433628318584
4.4-4.8,103,1-03,3.0,True,223,16,16,17,1.0,0.07174887892376682
4.4-4.8,104,1-04,4.0,True,207,12,13,15,1.3333333333333333,0.057971014492753624
4.4-4.8,105,1-05,5.0,False,194,4,4,7,1.0,0.020618556701030927
4.4-4.8,106,1-06,6.0,False,190,9,9,13,1.0,0.04736842105263158
4.4-4.8,107,1-07,7.0,False,181,6,7,10,1.0,0.03314917127071823
4.4-4.8,108,1-08,8.0,False,174,7,7,11,1.0909090909090908,0.040229885057471264
4.4-4.8,109,1-09,9.0,False,167,10,10,15,1.1333333333333333,0.059880239520958084
4.4-4.8,110,1-10,10.0,False,157,9,10,11,1.5454545454545454,0.05732484076433121
4.4-4.8,111,1-11,11.0,False,147,7,7,4,1.5,0.047619047619047616
4.4-4.8,112,1-12,12.0,False,140,20,22,31,1.7741935483870968,0.14285714285714285
4.4-4.8,113,1-13,13.0,False,118,8,10,9,2.4444444444444446,0.06779661016949153
4.4-4.8,114,1-14,14.0,False,108,15,18,7,1.7142857142857142,0.1388888888888889
4.4-4.8,115,1-15,15.0,False,90,3,6,10,2.7,0.03333333333333333
4.4-4.8,201,2-01,16.0,False,84,1,1,1,3.0,0.011904761904761904
4.4-4.8,202,2-02,17.0,False,83,2,2,0,0.0,0.024096385542168676
4.4-4.8,203,2-03,18.0,False,81,2,2,1,3.0,0.024691358024691357
4.4-4.8,204,2-04,19.0,False,79,10,16,10,4.3,0.12658227848101267
4.4-4.8,205,2-05,20.0,False,63,1,4,2,2.5,0.015873015873015872
4.4-4.8,206,2-06,21.0,False,59,0,2,0,0.0,0.0
4.4-4.8,207,2-07,22.0,False,57,1,1,1,2.0,0.017543859649122806
4.4-4.8,209,2-09,24.0,False,56,3,8,12,2.75,0.05357142857142857
4.4-4.8,210,2-10,25.0,False,48,0,0,2,3.5,0.0
4.4-4.8,214,2-14,29.0,False,48,1,3,2,3.5,0.020833333333333332
4.4-4.8,215,2-15,30.0,False,45,0,6,4,5.0,0.0
4.4-4.8,301,3-01,31.0,False,39,1,2,1,3.0,0.02564102564102564
4.4-4.8,302,3-02,32.0,False,37,1,3,0,0.0,0.02702702702702703
4.4-4.8,303,3-03,33.0,False,34,0,0,2,4.5,0.0
4.4-4.8,304,3-04,34.0,False,34,0,3,0,0.0,0.0
4.4-4.8,305,3-05,35.0,False,31,0,0,1,3.0,0.0
4.4-4.8,308,3-08,38.0,False,31,0,1,0,0.0,0.0
4.4-4.8,309,3-09,39.0,False,30,1,5,5,3.4,0.03333333333333333
4.4-4.8,310,3-10,40.0,False,25,0,0,1,6.0,0.0
4.4-4.8,311,3-11,41.0,False,25,0,1,0,0.0,0.0
4.4-4.8,312,3-12,42.0,False,24,0,1,0,0.0,0.0
4.4-4.8,313,3-13,43.0,False,23,0,0,1,4.0,0.0
4.4-4.8,314,3-14,44.0,False,23,0,2,1,6.0,0.0
4.4-4.8,402,4-02,47.0,False,21,0,1,0,0.0,0.0
4.4-4.8,404,4-04,49.0,False,20,0,1,0,0.0,0.0
4.4-4.8,405,4-05,50.0,False,19,0,1,2,2.5,0.0
4.4-4.8,408,4-08,53.0,False,18,0,1,0,0.0,0.0
4.4-4.8,409,4-09,54.0,False,17,0,3,4,4.0,0.0
4.4-4.8,412,4-12,57.0,False,14,0,1,0,0.0,0.0
4.4-4.8,414,4-14,59.0,False,13,0,1,1,4.0,0.0
4.4-4.8,501,5-01,61.0,False,12,0,1,1,4.0,0.0
4.4-4.8,502,5-02,62.0,False,11,0,0,1,3.0,0.0
4.4-4.8,505,5-05,65.0,False,11,0,1,0,0.0,0.0
4.4-4.8,506,5-06,66.0,False,10,0,0,1,5.0,0.0
4.4-4.8,508,5-08,68.0,False,10,0,1,0,0.0,0.0
4.4-4.8,509,5-09,69.0,False,9,0,1,1,3.0,0.0
4.4-4.8,511,5-11,71.0,False,8,0,1,1,6.0,0.0
4.4-4.8,512,5-12,72.0,False,7,0,0,1,4.0,0.0
4.4-4.8,514,5-14,74.0,False,7,0,2,1,2.0,0.0
4.4-4.8,601,6-01,76.0,False,5,0,1,1,3.0,0.0
4.4-4.8,602,6-02,77.0,False,4,0,1,0,0.0,0.0
4.4-4.8,603,6-03,78.0,False,3,0,1,0,0.0,0.0
4.4-4.8,607,6-07,82.0,False,2,0,0,1,3.0,0.0
4.4-4.8,612,6-12,87.0,False,2,0,1,0,0.0,0.0
4.4-4.8,712,7-12,102.0,False,1,0,1,0,0.0,0.0
