口径,关卡,关卡标签,关卡序号,是否前四关基准段,到达该关人数,流失人数,最终停留人数,最长停留人数,平均连续停留天数,归一化流失率
1.09-1.11,101,1-01,1.0,True,137,1,1,1,1.0,0.0072992700729927005
1.09-1.11,102,1-02,2.0,True,136,4,4,6,1.0,0.029411764705882353
1.09-1.11,103,1-03,3.0,True,132,5,5,6,1.0,0.03787878787878788
1.09-1.11,104,1-04,4.0,True,127,5,6,5,1.0,0.03937007874015748
1.09-1.11,105,1-05,5.0,False,121,1,1,2,1.0,0.008264462809917356
1.09-1.11,106,1-06,6.0,False,120,9,9,14,1.1428571428571428,0.075
1.09-1.11,107,1-07,7.0,False,111,4,4,7,1.2857142857142858,0.036036036036036036
1.09-1.11,108,1-08,8.0,False,107,5,5,2,1.5,0.04672897196261682
1.09-1.11,109,1-09,9.0,False,102,3,3,5,1.4,0.029411764705882353
1.09-1.11,110,1-10,10.0,False,99,8,9,6,1.8333333333333333,0.08080808080808081
1.09-1.11,111,1-11,11.0,False,90,1,1,1,1.0,0.011111111111111112
1.09-1.11,112,1-12,12.0,False,89,4,4,4,1.5,0.0449438202247191
1.09-1.11,113,1-13,13.0,False,85,8,9,12,2.0,0.09411764705882353
1.09-1.11,114,1-14,14.0,False,76,3,3,4,2.75,0.039473684210526314
1.09-1.11,115,1-15,15.0,False,73,4,7,6,2.1666666666666665,0.0547945205479452
1.09-1.11,201,2-01,16.0,False,66,0,1,0,0.0,0.0
1.09-1.11,202,2-02,17.0,False,65,0,1,1,2.0,0.0
1.09-1.11,203,2-03,18.0,False,64,2,2,0,0.0,0.03125
1.09-1.11,204,2-04,19.0,False,62,5,9,11,2.727272727272727,0.08064516129032258
1.09-1.11,205,2-05,20.0,False,53,0,1,0,0.0,0.0
1.09-1.11,206,2-06,21.0,False,52,1,2,1,2.0,0.019230769230769232
1.09-1.11,207,2-07,22.0,False,50,0,1,0,0.0,0.0
1.09-1.11,208,2-08,23.0,False,49,0,1,1,3.0,0.0
1.09-1.11,209,2-09,24.0,False,48,1,3,1,2.0,0.020833333333333332
1.09-1.11,210,2-10,25.0,False,45,0,2,5,5.4,0.0
1.09-1.11,211,2-11,26.0,False,43,0,1,0,0.0,0.0
1.09-1.11,214,2-14,29.0,False,42,0,0,4,2.5,0.0
1.09-1.11,215,2-15,30.0,False,42,0,2,4,3.25,0.0
1.09-1.11,301,3-01,31.0,False,40,0,1,2,4.0,0.0
1.09-1.11,302,3-02,32.0,False,39,1,5,3,3.3333333333333335,0.02564102564102564
1.09-1.11,304,3-04,34.0,False,34,0,2,2,4.5,0.0
1.09-1.11,305,3-05,35.0,False,32,0,1,0,0.0,0.0
1.09-1.11,306,3-06,36.0,False,31,1,1,0,0.0,0.03225806451612903
1.09-1.11,307,3-07,37.0,False,30,0,1,1,6.0,0.0
1.09-1.11,309,3-09,39.0,False,29,0,2,2,5.0,0.0
1.09-1.11,311,3-11,41.0,False,27,0,1,0,0.0,0.0
1.09-1.11,313,3-13,43.0,False,26,0,1,1,3.0,0.0
1.09-1.11,314,3-14,44.0,False,25,1,6,7,3.2857142857142856,0.04
1.09-1.11,315,3-15,45.0,False,19,0,2,0,0.0,0.0
1.09-1.11,403,4-03,48.0,False,17,0,1,0,0.0,0.0
1.09-1.11,405,4-05,50.0,False,16,0,1,2,4.0,0.0
1.09-1.11,501,5-01,61.0,False,15,0,1,0,0.0,0.0
1.09-1.11,504,5-04,64.0,False,14,0,0,1,5.0,0.0
1.09-1.11,509,5-09,69.0,False,14,0,1,0,0.0,0.0
1.09-1.11,510,5-10,70.0,False,13,0,1,0,0.0,0.0
1.09-1.11,511,5-11,71.0,False,12,0,1,2,4.0,0.0
1.09-1.11,514,5-14,74.0,False,11,0,2,2,2.0,0.0
1.09-1.11,601,6-01,76.0,False,9,0,0,1,4.0,0.0
1.09-1.11,602,6-02,77.0,False,9,0,1,0,0.0,0.0
1.09-1.11,604,6-04,79.0,False,8,0,0,2,4.5,0.0
1.09-1.11,605,6-05,80.0,False,8,0,2,0,0.0,0.0
1.09-1.11,607,6-07,82.0,False,6,0,1,0,0.0,0.0
1.09-1.11,612,6-12,87.0,False,5,0,1,0,0.0,0.0
1.09-1.11,704,7-04,94.0,False,4,0,1,0,0.0,0.0
1.09-1.11,801,8-01,106.0,False,3,0,1,0,0.0,0.0
1.09-1.11,901,9-01,121.0,False,2,0,1,0,0.0,0.0
1.09-1.11,905,9-05,125.0,False,1,0,1,0,0.0,0.0
