批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
4.4-4.8,109086943,1~7,4.0,14.0,14.0,5,4.0,4.0,,104.0,114.0,114.0,1,104.0,1-04,4.0,1-14,14.0,1-14,14.0,1-04,4.0,False,10.0
4.4-4.8,109087040,1~7,7.0,14.0,14.0,5,12.0,3.0,12.0,107.0,114.0,114.0,2,110.0,1-07,7.0,1-14,14.0,1-14,14.0,1-10,10.0,True,7.0
4.4-4.8,109087117,100~300,5.0,30.0,30.0,15,22.0,2.2,,105.0,215.0,215.0,3,115.0,1-05,5.0,2-15,30.0,2-15,30.0,1-15,15.0,False,25.0
4.4-4.8,109087137,7~50,,39.0,39.0,10,16.0,1.7777777777777777,,208.0,309.0,309.0,2,209.0,2-08,23.0,3-09,39.0,3-09,39.0,2-09,24.0,False,
4.4-4.8,109087147,1~7,8.0,12.0,12.0,2,12.0,6.0,12.0,108.0,112.0,112.0,1,108.0,1-08,8.0,1-12,12.0,1-12,12.0,1-08,8.0,True,4.0
4.4-4.8,109087337,1~7,,13.0,13.0,3,0.0,0.0,,113.0,113.0,113.0,2,113.0,1-13,13.0,1-13,13.0,1-13,13.0,1-13,13.0,False,
4.4-4.8,109087479,1~7,2.0,13.0,13.0,3,13.0,4.333333333333333,13.0,102.0,113.0,113.0,2,113.0,1-02,2.0,1-13,13.0,1-13,13.0,1-13,13.0,True,11.0
4.4-4.8,109088123,7~50,19.0,54.0,54.0,19,54.0,2.8421052631578947,,204.0,409.0,409.0,7,409.0,2-04,19.0,4-09,54.0,4-09,54.0,4-09,54.0,False,35.0
4.4-4.8,109088308,100~300,18.0,54.0,54.0,8,54.0,6.75,,203.0,409.0,409.0,3,409.0,2-03,18.0,4-09,54.0,4-09,54.0,4-09,54.0,False,36.0
4.4-4.8,109089424,7~50,7.0,30.0,30.0,13,30.0,2.5,,107.0,215.0,215.0,4,215.0,1-07,7.0,2-15,30.0,2-15,30.0,2-15,30.0,False,23.0
4.4-4.8,109093981,100~300,22.0,87.0,87.0,12,87.0,7.25,,207.0,612.0,612.0,3,601.0,2-07,22.0,6-12,87.0,6-12,87.0,6-01,76.0,False,65.0
4.4-4.8,109099253,7~50,15.0,31.0,31.0,5,31.0,6.2,31.0,115.0,301.0,301.0,3,301.0,1-15,15.0,3-01,31.0,3-01,31.0,3-01,31.0,True,16.0
4.4-4.8,109101221,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
